,index,ed_6month_total
0,0,915621
1,1,337122
2,2,157869
3,3,83548
4,4,47578
5,5,27953
6,6,17220
7,7,11390
8,8,7753
9,9,5267
10,10,3917
11,11,2999
12,12,2277
13,13,1690
14,14,1288
15,15,1021
16,16,836
17,17,671
18,18,579
19,19,425
20,20,416
21,21,323
22,22,270
23,23,218
24,24,205
25,25,162
26,26,142
27,27,133
28,29,116
29,28,98
30,31,93
31,30,93
32,32,68
33,33,56
34,34,52
35,37,38
36,40,37
37,35,34
38,38,30
39,36,28
40,39,28
41,42,26
42,44,24
43,41,23
44,45,21
45,46,21
46,51,19
47,43,18
48,50,17
49,49,14
50,52,12
51,58,10
52,47,10
53,48,9
54,54,9
55,63,8
56,62,7
57,53,7
58,55,7
59,59,6
60,57,5
61,56,5
62,65,5
63,61,4
64,64,4
65,60,3
66,66,3
67,72,3
68,68,2
69,71,2
70,86,1
71,94,1
72,93,1
73,92,1
74,91,1
75,88,1
76,117,1
77,84,1
78,82,1
79,79,1
80,78,1
81,74,1
82,146,1
