,index,heartrate_admit
0,,48647
1,80,40304
2,78,36631
3,72,36519
4,70,36375
5,74,33597
6,76,33432
7,75,33180
8,88,32825
9,77,32765
10,82,32500
11,84,31278
12,86,31206
13,73,31078
14,71,30850
15,68,30733
16,79,30336
17,81,30261
18,85,30071
19,83,28735
20,66,28259
21,90,28132
22,69,28038
23,87,27413
24,65,27191
25,60,26927
26,89,26044
27,67,25955
28,64,25683
29,92,24126
30,62,23515
31,91,22445
32,63,22119
33,94,22069
34,96,21426
35,95,21172
36,93,21097
37,98,20533
38,100,19875
39,140,18994
40,61,18967
41,97,18457
42,99,16229
43,150,16195
44,102,14936
45,130,14916
46,58,14539
47,101,14418
48,59,13673
49,160,13344
50,103,12705
51,104,12576
52,120,12166
53,105,11534
54,57,11452
55,110,10992
56,56,10907
57,106,10620
58,108,10094
59,107,9649
60,55,9351
61,109,8690
62,135,8524
63,54,7957
64,112,7755
65,125,6947
66,111,6838
67,115,6599
68,114,6469
69,53,5980
70,52,5926
71,113,5669
72,116,5362
73,145,5173
74,118,5087
75,50,4763
76,117,4758
77,51,4692
78,122,3878
79,170,3704
80,124,3619
81,119,3447
82,128,3365
83,148,3179
84,121,3063
85,132,2976
86,123,2751
87,144,2713
88,126,2700
89,136,2472
90,156,2449
91,152,2255
92,48,2096
93,49,1997
94,127,1974
95,180,1935
96,138,1919
97,155,1890
98,142,1810
99,129,1800
100,134,1714
101,133,1673
102,47,1509
103,131,1480
104,146,1466
105,154,1397
106,46,1223
107,158,1181
108,168,1177
109,164,1148
110,45,1087
111,137,1078
112,162,904
113,139,887
114,44,848
115,141,831
116,165,805
117,143,787
118,166,745
119,147,716
120,43,579
121,42,564
122,149,502
123,172,500
124,153,500
125,151,445
126,40,418
127,2,402
128,157,398
129,190,377
130,41,354
131,176,345
132,159,330
133,163,318
134,175,309
135,167,287
136,178,282
137,174,261
138,161,253
139,200,240
140,38,203
141,39,198
142,169,194
143,188,181
144,171,166
145,37,163
146,179,153
147,36,149
148,177,139
149,184,135
150,173,135
151,185,133
152,182,128
153,18,116
154,34,112
155,Present;Equal,105
156,35,90
157,181,86
158,186,84
159,183,83
160,33,81
161,189,80
162,0,70
163,187,68
164,32,60
165,20,58
166,192,57
167,16,54
168,195,48
169,31,46
170,197,46
171,194,45
172,30,41
173,193,39
174,210,38
175,198,34
176,196,32
177,191,31
178,204,30
179,202,26
180,28,24
181,29,23
182,205,21
183,8,20
184,199,20
185,203,18
186,26,18
187,208,18
188,1,18
189,206,16
190,201,16
191,220,16
192,6,15
193,17,14
194,24,13
195,Present,13
196,10,13
197,27,12
198,212,12
199,22,12
200,14,11
201,15,10
202,11,9
203,23,9
204,207,9
205,9,9
206,214,8
207,230,8
208,211,8
209,218,7
210,7,7
211,19,7
212,13,7
213,25,6
214,80.00,6
215,21,5
216,88.00,5
217,98.00,5
218,Equal,5
219,215,5
220,79.00,5
221,66.00,4
222,217,4
223,225,4
224,81.00,4
225,12,4
226,85.00,4
227,94.00,4
228,97.00,4
229,75.00,3
230,78.00,3
231,73.00,3
232,86.00,3
233,92.00,3
234,107.00,3
235,63.00,3
236,58.00,3
237,221,3
238,216,3
239,228,3
240,250,3
241,209,3
242,231,3
243,213,3
244,260,3
245,240,3
246,3,3
247,105.00,2
248,62.00,2
249,239,2
250,276,2
251,64.00,2
252,93.00,2
253,234,2
254,69.00,2
255,238,2
256,90.00,2
257,70.00,2
258,72.00,2
259,130.00,2
260,232,2
261,77.00,2
262,226,2
263,99.00,2
264,120.00,2
265,83.00,2
266,4,2
267,84.00,2
268,48.00,2
269,5,2
270,101.00,2
271,52.00,2
272,227,2
273,53.00,2
274,87.00,2
275,55.00,2
276,74.00,2
277,89.00,1
278,1125,1
279,117.00,1
280,113.00,1
281,314,1
282,237,1
283,102.00,1
284,223,1
285,222,1
286,229,1
287,100.00,1
288,Equal;Present,1
289,1930,1
290,1025,1
291,109.00,1
292,104.00,1
293,233,1
294,119.00,1
295,235,1
296,108.00,1
297,91.00,1
298,82.00,1
299,125.00,1
300,244,1
301,144.00,1
302,263,1
303,295,1
304,1410,1
305,60.00,1
306,143.00,1
307,1430,1
308,56.00,1
309,245,1
310,54.00,1
311,224,1
312,438,1
313,42.00,1
314,1545,1
315,382,1
316,136.00,1
317,68.00,1
318,1353,1
319,695,1
320,246,1
321,Present;Unequal,1
322,122.00,1
323,1225,1
324,248,1
325,123.00,1
326,249,1
327,1580,1
328,76.00,1
329,127.00,1
330,745,1
331,128.00,1
332,253,1
333,1325,1
334,67.00,1
335,148.00,0
336,155.00,0
